链,地址,推测交易所,置信度,来源数,来源详情,命中原因/标签原文,Nansen验证结果,Arkham验证结果,备注
solana,4NyK1AdJBNbgaJ9EsKz3J4rfeHsuYdjkTPg3JaNdLeFw,Coinbase,medium,1,auto_snapshot_label,持仓快照标签 'Coinbase Hot Wallet 4 (4NyK1)' 命中交易所关键词,,,
solana,H8sMJSCQxfKiFTCfDR3DUMLPwcRbM61LGFJ8N4dK3WjS,Coinbase,medium,1,auto_snapshot_label,持仓快照标签 'Coinbase 1' 命中交易所关键词,,,
solana,9obNtb5GyUegcs3a1CbBkLuc5hEWynWfJC6gjz5uWQkE,Coinbase,medium,1,auto_snapshot_label,持仓快照标签 'Coinbase 4' 命中交易所关键词,,,
solana,5g7yNHyGLJ7fiQ9SN9mf47opDnMjc585kqXWt6d7aBWs,Coinbase,medium,1,auto_snapshot_label,持仓快照标签 'Coinbase Hot Wallet (5g7yN)' 命中交易所关键词,,,
solana,DPqsobysNf5iA9w7zrQM8HLzCKZEDMkZsWbiidsAt1xo,Coinbase,medium,1,auto_snapshot_label,持仓快照标签 'Coinbase Hot Wallet 4 (DPqso)' 命中交易所关键词,,,
solana,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,Coinbase,medium,1,auto_snapshot_label,持仓快照标签 'Coinbase Prime: Hot Wallet (3vxhe)' 命中交易所关键词,,,
solana,8TWNcXvh9BXKdgNdRKGAfKzGUYsoVDMKUuAdbMYxCJEA,Coinone,medium,1,auto_snapshot_label,持仓快照标签 'Coinone Hot Wallet (8TWNc)' 命中交易所关键词,,,
solana,6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,Crypto.com,medium,1,auto_snapshot_label,持仓快照标签 'Crypto.com Hot Wallet 1' 命中交易所关键词,,,
solana,22Wnk8PwyWZV7BfkZGJEKT9jGGdtvu7xY6EXeRh7zkBa,Crypto.com,medium,1,auto_snapshot_label,持仓快照标签 'Crypto.com Hot Wallet 3' 命中交易所关键词,,,
solana,ADqZYsW9SVZ6bCSGDqfBiPkfaZuQKGg79MA357otX8Ud,Crypto.com,medium,1,auto_snapshot_label,持仓快照标签 'Crypto.com Hot Wallet 5' 命中交易所关键词,,,
solana,AobVSwdW9BbpMdJvTqeCN4hPAmh4rHm7vwLnQ5ATSyrS,Crypto.com,medium,1,auto_snapshot_label,持仓快照标签 'Crypto.com Hot Wallet 2' 命中交易所关键词,,,
solana,6b4aypBhH337qSzzkbeoHWzTLt4DjG2aG8GkrrTQJfQA,FTX,medium,1,auto_snapshot_label,持仓快照标签 'FTX Cold Storage #1' 命中交易所关键词,,,
