scenario,horizon_h,n,days,win_rate,avg_ret_net,expectancy,profit_factor,day_t_stat,day_avg
BASELINE_ONLY,1,4959,69,0.4375882234321436,-0.0018647020052255851,-0.0018647020052255851,0.8859568527597722,-1.775424016876259,-0.0013655034904581811
BASELINE_ONLY,4,4959,69,0.44968743698326274,-0.0012121396953246307,-0.0012121396953246307,0.9563791352215902,-0.5869113001679455,-0.0009489299720659047
BASELINE_ONLY,24,4959,69,0.4686428715466828,0.007326958477562552,0.007326958477562552,1.1381490864481811,1.3604109669119102,0.006882732867294522
Pup_OIdown,1,411,22,0.46958637469586373,-0.0009990333088220856,-0.0009990333088220856,0.9372134015251266,-1.0047904270749277,-0.002983255178864902
Pup_OIdown,4,411,22,0.46715328467153283,0.0031411476831819866,0.0031411476831819866,1.1240124887220113,0.8996751745012016,0.005135507685499966
Pup_OIdown,24,411,22,0.43309002433090027,0.020354720968281215,0.020354720968281215,1.4135237774883844,1.8969635140390377,0.031248633562177063
Pup_OIup,1,921,22,0.44516829533116176,0.0024488420429309593,0.0024488420429309593,1.1443441238200875,0.8510662376631496,0.0018434433360992872
Pup_OIup,4,921,22,0.4560260586319218,0.01263865891401154,0.01263865891401154,1.4499146608470284,1.948752384039843,0.012992329565958626
Pup_OIup,24,921,22,0.4201954397394137,0.0510500388393273,0.0510500388393273,1.9844376774180856,1.4733767644227955,0.04135047670939732
Pdown_OIup,1,442,22,0.3914027149321267,-0.009090835800505048,-0.009090835800505048,0.5129855613383526,-2.11443500783865,-0.008780310439394456
Pdown_OIup,4,442,22,0.4638009049773756,-0.011552104490518304,-0.011552104490518304,0.633750585045724,-1.9355629844596514,-0.018170889013149474
Pdown_OIup,24,442,22,0.497737556561086,-0.026388600284375563,-0.026388600284375563,0.6315235644810593,-2.0138290368109213,-0.04343389901164186
Pdown_OIdown,1,343,22,0.27988338192419826,-0.007730251006396438,-0.007730251006396438,0.4634018884218271,-3.971839622380367,-0.00834225777168207
Pdown_OIdown,4,343,22,0.3673469387755102,-0.00749364850382095,-0.00749364850382095,0.6444782989685119,-0.887601796524488,-0.005208376710089085
Pdown_OIdown,24,343,22,0.46647230320699706,-0.0197987420443973,-0.0197987420443973,0.6135974857517965,-1.609106648722123,-0.050948630510215205
