scenario,horizon_h,n,days,win_rate,avg_ret_net,expectancy,profit_factor,day_t_stat,day_avg,price_thr,vol_thr
Pup_OIdown,1,947,22,0.46462513199577615,-6.420644768168774e-05,-6.420644768168774e-05,0.994635004361939,-0.906770184756297,-0.0017942730744670786,2.0,1.5
Pup_OIdown,4,947,22,0.4604012671594509,0.0019395023807257446,0.0019395023807257446,1.0921196564612896,0.8952993402259735,0.002945304357922859,2.0,1.5
Pup_OIdown,24,947,22,0.41816261879619854,0.008720021409194565,0.008720021409194565,1.1980551654221405,1.5220437274606278,0.019185770588285158,2.0,1.5
Pup_OIup,1,1726,22,0.4426419466975666,0.001263240664712061,0.001263240664712061,1.0911450685592725,1.0003519037077473,0.001489504397878279,2.0,1.5
Pup_OIup,4,1726,22,0.4223638470451912,0.007188983705900535,0.007188983705900535,1.306230990711956,1.863103625212455,0.00830237292260652,2.0,1.5
Pup_OIup,24,1726,22,0.4026651216685979,0.03539878970614829,0.03539878970614829,1.7960246678979823,1.4583100158319464,0.029653295977274032,2.0,1.5
Pup_OIdown,1,647,22,0.49613601236476046,0.001358881070921774,0.001358881070921774,1.1116976121519653,-0.7329051059106126,-0.0019934613492718265,2.0,2.0
Pup_OIdown,4,647,22,0.47295208655332305,0.002105964754752345,0.002105964754752345,1.0987802197741363,0.9599817265084635,0.004542314216473417,2.0,2.0
Pup_OIdown,24,647,22,0.4234930448222566,0.010263336121610005,0.010263336121610005,1.2359592048383963,1.5847585575705179,0.022082018296298214,2.0,2.0
Pup_OIup,1,1450,22,0.4475862068965517,0.002508893527008928,0.002508893527008928,1.1822892678923973,1.7900435549262483,0.003244947741839585,2.0,2.0
Pup_OIup,4,1450,22,0.4296551724137931,0.007932835399621791,0.007932835399621791,1.3338143526241688,1.8372600419718597,0.009451764875709449,2.0,2.0
Pup_OIup,24,1450,22,0.40206896551724136,0.03468983825408548,0.03468983825408548,1.7842422733609125,1.533172525965082,0.03179724600178986,2.0,2.0
Pup_OIdown,1,352,22,0.5113636363636364,0.003806998349826761,0.003806998349826761,1.3408754466918447,0.7842036643563416,0.0035782893429189043,2.0,3.0
Pup_OIdown,4,352,22,0.5198863636363636,0.0100677793795155,0.0100677793795155,1.5516621002344986,1.4704429544718962,0.015552979017511535,2.0,3.0
Pup_OIdown,24,352,22,0.48579545454545453,0.027583575291628522,0.027583575291628522,1.8028916846272216,2.3810649097835728,0.03784307025752542,2.0,3.0
Pup_OIup,1,1001,22,0.44555444555444557,0.0018608391800494428,0.0018608391800494428,1.127371112671534,1.5357742672090449,0.003999913109002624,2.0,3.0
Pup_OIup,4,1001,22,0.4325674325674326,0.005752435945940429,0.005752435945940429,1.2337334069621477,1.742363207701979,0.010624045299102965,2.0,3.0
Pup_OIup,24,1001,22,0.3946053946053946,0.03350008376805727,0.03350008376805727,1.7126421557077922,1.4713105168821745,0.03133838876067419,2.0,3.0
Pup_OIdown,1,221,22,0.502262443438914,0.0021034562524326625,0.0021034562524326625,1.1644883502418875,-0.556217916599339,-0.0020321239774419497,2.0,4.0
Pup_OIdown,4,221,22,0.49321266968325794,0.010173518319955631,0.010173518319955631,1.5413268324199045,0.9380175707752564,0.008485018168910117,2.0,4.0
Pup_OIdown,24,221,22,0.4841628959276018,0.026072331027966637,0.026072331027966637,1.7786060065684448,2.2560805386091807,0.03108570332884203,2.0,4.0
Pup_OIup,1,695,22,0.46906474820143884,0.0014511065536769968,0.0014511065536769968,1.092028890378434,1.3275680023579757,0.0038060494523382148,2.0,4.0
Pup_OIup,4,695,22,0.45755395683453237,0.0068226910227889934,0.0068226910227889934,1.2692382810264031,1.66365137440679,0.013194662099971666,2.0,4.0
Pup_OIup,24,695,22,0.40863309352517985,0.03824807651930018,0.03824807651930018,1.8118373805153016,1.7308273245949024,0.037057329850583784,2.0,4.0
Pup_OIdown,1,723,22,0.45504840940525587,-0.0006792428321784397,-0.0006792428321784397,0.949768149817345,-1.0287066483213367,-0.0022512103443925926,2.5,1.5
Pup_OIdown,4,723,22,0.45643153526970953,0.0006972632458175616,0.0006972632458175616,1.0292227850500217,0.5421566925414659,0.0022155953434159453,2.5,1.5
Pup_OIdown,24,723,22,0.42461964038727523,0.011634642540948885,0.011634642540948885,1.242756652120732,1.7224378228394888,0.024310195045168882,2.5,1.5
Pup_OIup,1,1338,22,0.44245142002989535,0.0016981139443098508,0.0016981139443098508,1.1109347913568033,1.2135478593223665,0.0021288669144067527,2.5,1.5
Pup_OIup,4,1338,22,0.4312406576980568,0.009284385520792965,0.009284385520792965,1.3633462149965128,1.9709926396113377,0.010356547188248149,2.5,1.5
Pup_OIup,24,1338,22,0.4118086696562033,0.0434568540748117,0.0434568540748117,1.9057729508972776,1.508215669913363,0.03475049019770146,2.5,1.5
Pup_OIdown,1,520,22,0.4846153846153846,0.0003995177083968083,0.0003995177083968083,1.0288911126794764,-0.9606902224777095,-0.002705496017819334,2.5,2.0
Pup_OIdown,4,520,22,0.47307692307692306,0.0018497292913304399,0.0018497292913304399,1.0781371791184338,0.6667925190536209,0.0036230335670321854,2.5,2.0
Pup_OIdown,24,520,22,0.4307692307692308,0.013898702696704615,0.013898702696704615,1.2988397954580952,1.691003448517091,0.024879055107927938,2.5,2.0
Pup_OIup,1,1158,22,0.4464594127806563,0.0027954132374669286,0.0027954132374669286,1.1846473816978742,1.9256859631333119,0.0037744584065709037,2.5,2.0
Pup_OIup,4,1158,22,0.43609671848013815,0.009796711119873123,0.009796711119873123,1.3799425732368844,1.9548301827963788,0.011343242590535697,2.5,2.0
Pup_OIup,24,1158,22,0.40846286701208984,0.041848980525146365,0.041848980525146365,1.8794456611781873,1.496054751664328,0.03501514217424035,2.5,2.0
Pup_OIdown,1,296,22,0.48986486486486486,0.0022410182129802463,0.0022410182129802463,1.1770393648027597,0.4170159550198476,0.002030344774126715,2.5,3.0
Pup_OIdown,4,296,22,0.5135135135135135,0.00890937341896018,0.00890937341896018,1.4413575336617261,1.0497447111152942,0.011982570408696915,2.5,3.0
Pup_OIdown,24,296,22,0.49324324324324326,0.031776133012484206,0.031776133012484206,1.9151966794670507,2.5417768421767666,0.04201571932786067,2.5,3.0
Pup_OIup,1,839,22,0.4374255065554231,0.0013139273281786619,0.0013139273281786619,1.082328956540534,1.3804093098828003,0.0037907878472740893,2.5,3.0
