scenario,fund_tag,horizon_h,n,days,win_rate,avg_ret_net,expectancy,profit_factor,day_t_stat,day_avg
BASELINE_ONLY,+,1,901,62,0.4572697003329634,-0.0013137697634623177,-0.0013137697634623177,0.9300918618332426,-0.4158193636522075,-0.0011454778558688252
BASELINE_ONLY,+,4,901,62,0.46503884572697,-0.0010087725992337108,-0.0010087725992337108,0.9700846753849585,-0.5661744902985486,-0.0024548365810414096
BASELINE_ONLY,+,24,901,62,0.46392896781354054,-0.003622360966887917,-0.003622360966887917,0.9507645063639721,-0.5637105050387583,-0.0056398252472612135
BASELINE_ONLY,-,1,440,65,0.44772727272727275,-0.0029210235891507196,-0.0029210235891507196,0.8499482981918227,-2.360938681902875,-0.00427492269775084
BASELINE_ONLY,-,4,440,65,0.43863636363636366,-0.0066435079199354055,-0.0066435079199354055,0.8069063036656549,-1.9075546540522506,-0.007300792650422206
BASELINE_ONLY,-,24,440,65,0.425,-0.005741400840860173,-0.005741400840860173,0.9132190945567512,-0.5120677193161814,-0.004936325615785897
BASELINE_ONLY,0,1,2863,69,0.44114565141460005,-0.000831079732554927,-0.000831079732554927,0.9407079492750334,-0.9429937077399743,-0.0009884979937935278
BASELINE_ONLY,0,4,2863,69,0.4533705902899057,0.0015908742219021615,0.0015908742219021615,1.0682213192693428,0.01833791796363468,4.224500904928953e-05
BASELINE_ONLY,0,24,2863,69,0.4785190359762487,0.015192915243317808,0.015192915243317808,1.3501601644569694,1.4961024440379411,0.01061249564624122
BASELINE_ONLY,NA,1,755,47,0.39470198675496687,-0.005826117925169619,-0.005826117925169619,0.7154092694821814,0.24737071333036126,0.0009967643744957996
BASELINE_ONLY,NA,4,755,47,0.423841059602649,-0.008918709999655071,-0.008918709999655071,0.7361103413755042,-0.9271060621080465,-0.006677310031210821
BASELINE_ONLY,NA,24,755,47,0.46225165562913906,-0.0018184975499889666,-0.0018184975499889666,0.9683564893536644,-0.7263502421501917,-0.009469184321522085
Pup_OIdown,+,1,78,19,0.5,-0.002655454253486296,-0.002655454253486296,0.8502652128512492,-1.3250062045647681,-0.008362064723778878
Pup_OIdown,+,4,78,19,0.5897435897435898,0.018117446017314222,0.018117446017314222,1.8976557867538122,0.8607726870924814,0.008757242046298817
Pup_OIdown,+,24,78,19,0.4358974358974359,-0.0019572671945702457,-0.0019572671945702457,0.9730589515496503,0.2851287317239776,0.006948522016266012
